ir_protocol,ir_address,ir_command,hid_command,ir_key_comment,hid_key_comment
NECext,0x7F00,0xA758,0x80,remote vol+,KEY_MEDIA_VOLUME_UP
NECext,0x7F00,0xA45B,0x81,remote vol-,KEY_MEDIA_VOLUME_DOWN
NECext,0x7F00,0xAE51,0xe8,remote play,KEY_MEDIA_PLAYPAUSE
NECext,0x7F00,0xB24D,0xe8,remote pause,KEY_MEDIA_PLAYPAUSE
NECext,0x7F00,0xF10E,0x1e,remote 1,KEY_1
NECext,0x7F00,0xF906,0x1f,remote 2,KEY_2
NECext,0x7F00,0xF00F,0x20,remote 3,KEY_3
NECext,0x7F00,0xED12,0x21,remote 4,KEY_4
NECext,0x7F00,0xF807,0x22,remote 5,KEY_5
NECext,0x7F00,0xEC13,0x23,remote 6,KEY_6
NECext,0x7F00,0xE916,0x24,remote 7,KEY_7
NECext,0x7F00,0xFD02,0x25,remote 8,KEY_8
NECext,0x7F00,0xE817,0x26,remote 9,KEY_9
NECext,0x7F00,0xE51A,0x27,remote 0,KEY_0
NECext,0x7F00,0xA55A,0x2c,remote ok,KEY_SPACE
NECext,0x7F00,0xE11E,0x4f,remote ok,KEY_RIGHT
NECext,0x7F00,0xB44B,0x50,remote ok,KEY_LEFT
NECext,0x7F00,0xBB44,0x51,remote ok,KEY_DOWN
NECext,0x7F00,0xB748,0x52,remote ok,KEY_UP